product_id,title,category,brand,price,rating,stock,description
1,Max Sneakers,Fashion,Max,16770.08,3.7,34,Max Sneakers in category Fashion with rating 3.7
2,Max Mouse,Electronics,Max,43500.03,3.9,282,Max Mouse in category Electronics with rating 3.9
3,Ultra Algorithms,Books,Ultra,42526.93,3.4,358,Ultra Algorithms in category Books with rating 3.4
4,Nova Lamp,Home,Nova,744.56,3.9,486,Nova Lamp in category Home with rating 3.9
5,SmartLife Monitor,Electronics,SmartLife,42364.33,3.3,282,SmartLife Monitor in category Electronics with rating 3.3
6,Vision Python Guide,Books,Vision,9295.5,3.7,38,Vision Python Guide in category Books with rating 3.7
7,Max Lamp,Home,Max,6557.83,3.6,113,Max Lamp in category Home with rating 3.6
8,Nova Sofa,Home,Nova,45017.84,3.2,187,Nova Sofa in category Home with rating 3.2
9,Prime Lamp,Home,Prime,22802.68,3.8,264,Prime Lamp in category Home with rating 3.8
10,Prime Basketball,Sports,Prime,23693.85,4.7,99,Prime Basketball in category Sports with rating 4.7
11,Vision Monitor,Electronics,Vision,44143.67,4.6,35,Vision Monitor in category Electronics with rating 4.6
12,Prime Machine Learning,Books,Prime,19317.26,3.7,308,Prime Machine Learning in category Books with rating 3.7
13,Elite Lamp,Home,Elite,5170.33,3.4,12,Elite Lamp in category Home with rating 3.4
14,Ultra Smartwatch,Electronics,Ultra,40702.9,4.7,100,Ultra Smartwatch in category Electronics with rating 4.7
15,Prime Python Guide,Books,Prime,6510.28,4.8,89,Prime Python Guide in category Books with rating 4.8
16,SmartLife Mixer,Home,SmartLife,4016.74,3.2,83,SmartLife Mixer in category Home with rating 3.2
17,Ultra DBMS,Books,Ultra,5617.84,4.0,459,Ultra DBMS in category Books with rating 4.0
18,Max Basketball,Sports,Max,40562.76,3.9,15,Max Basketball in category Sports with rating 3.9
19,TechPro Cricket Bat,Sports,TechPro,10905.3,4.9,138,TechPro Cricket Bat in category Sports with rating 4.9
20,Prime Hoodie,Fashion,Prime,38045.55,4.0,107,Prime Hoodie in category Fashion with rating 4.0
21,Prime Tablet,Electronics,Prime,14351.36,4.9,481,Prime Tablet in category Electronics with rating 4.9
22,TechPro Tennis Racket,Sports,TechPro,39726.51,4.1,167,TechPro Tennis Racket in category Sports with rating 4.1
23,Max Monitor,Electronics,Max,8665.56,4.7,64,Max Monitor in category Electronics with rating 4.7
24,TechPro Machine Learning,Books,TechPro,23906.74,3.1,387,TechPro Machine Learning in category Books with rating 3.1
25,Vision Python Guide,Books,Vision,24609.11,4.8,212,Vision Python Guide in category Books with rating 4.8
26,TechPro Headphones,Electronics,TechPro,16979.87,4.6,145,TechPro Headphones in category Electronics with rating 4.6
27,Prime Python Guide,Books,Prime,18592.86,3.9,313,Prime Python Guide in category Books with rating 3.9
28,SmartLife Jeans,Fashion,SmartLife,40933.07,3.5,182,SmartLife Jeans in category Fashion with rating 3.5
29,Prime Tennis Racket,Sports,Prime,23728.09,3.1,500,Prime Tennis Racket in category Sports with rating 3.1
30,Max Sofa,Home,Max,6397.37,3.5,214,Max Sofa in category Home with rating 3.5
31,SmartLife Lamp,Home,SmartLife,46262.62,4.0,325,SmartLife Lamp in category Home with rating 4.0
32,Nova Smartphone,Electronics,Nova,48382.67,3.3,26,Nova Smartphone in category Electronics with rating 3.3
33,Ultra Sofa,Home,Ultra,43300.9,4.2,267,Ultra Sofa in category Home with rating 4.2
34,Max Keyboard,Electronics,Max,19859.77,4.3,34,Max Keyboard in category Electronics with rating 4.3
35,Prime Basketball,Sports,Prime,36219.82,4.3,82,Prime Basketball in category Sports with rating 4.3
36,TechPro Mouse,Electronics,TechPro,45871.23,3.5,17,TechPro Mouse in category Electronics with rating 3.5
37,Nova Lamp,Home,Nova,17181.83,4.3,120,Nova Lamp in category Home with rating 4.3
38,Vision Table,Home,Vision,14940.59,3.2,74,Vision Table in category Home with rating 3.2
39,SmartLife Vacuum Cleaner,Home,SmartLife,11255.0,4.8,219,SmartLife Vacuum Cleaner in category Home with rating 4.8
40,TechPro Headphones,Electronics,TechPro,16671.34,3.3,144,TechPro Headphones in category Electronics with rating 3.3
41,Prime Sneakers,Fashion,Prime,7866.68,3.2,195,Prime Sneakers in category Fashion with rating 3.2
42,Vision Basketball,Sports,Vision,7352.94,4.6,486,Vision Basketball in category Sports with rating 4.6
43,Prime Chair,Home,Prime,36403.47,3.8,152,Prime Chair in category Home with rating 3.8
44,Elite Yoga Mat,Sports,Elite,47931.41,3.7,335,Elite Yoga Mat in category Sports with rating 3.7
45,Elite Mixer,Home,Elite,27786.75,4.5,24,Elite Mixer in category Home with rating 4.5
46,Max Keyboard,Electronics,Max,3784.38,3.6,254,Max Keyboard in category Electronics with rating 3.6
47,Elite Sneakers,Fashion,Elite,5109.05,4.1,363,Elite Sneakers in category Fashion with rating 4.1
48,Nova Mixer,Home,Nova,27254.79,4.1,416,Nova Mixer in category Home with rating 4.1
49,Vision DBMS,Books,Vision,40607.27,4.7,439,Vision DBMS in category Books with rating 4.7
50,Vision DBMS,Books,Vision,36716.59,4.8,46,Vision DBMS in category Books with rating 4.8
51,Prime Sofa,Home,Prime,29179.79,4.3,188,Prime Sofa in category Home with rating 4.3
52,TechPro Smartwatch,Electronics,TechPro,2154.68,3.8,230,TechPro Smartwatch in category Electronics with rating 3.8
53,Nova Tablet,Electronics,Nova,20990.74,3.5,354,Nova Tablet in category Electronics with rating 3.5
54,Max Jeans,Fashion,Max,30976.59,4.4,458,Max Jeans in category Fashion with rating 4.4
55,Vision Data Science,Books,Vision,16186.11,4.1,235,Vision Data Science in category Books with rating 4.1
56,Prime Smartwatch,Electronics,Prime,42687.49,3.1,323,Prime Smartwatch in category Electronics with rating 3.1
57,SmartLife Data Science,Books,SmartLife,25765.41,4.3,111,SmartLife Data Science in category Books with rating 4.3
58,Vision Headphones,Electronics,Vision,41916.73,4.9,297,Vision Headphones in category Electronics with rating 4.9
59,Ultra Data Science,Books,Ultra,10826.7,4.7,221,Ultra Data Science in category Books with rating 4.7
60,Elite Machine Learning,Books,Elite,4159.06,4.3,61,Elite Machine Learning in category Books with rating 4.3
61,Prime Tablet,Electronics,Prime,44452.89,4.5,367,Prime Tablet in category Electronics with rating 4.5
